Data_File,Training_Data,Testing_Data,Classifier,Kernel,Scale,Train_Size,Test_Size,Precision,Recall,Accuracy,True_Count,Actual_Count,Transcript.length,Strand,GC.content,Enzyme,SEG.low.complexity,Transmembrane.domain,Signal.peptide,Coiled.coil,Nucleus,Mitochondria,ER,Cytoplasm,Ribosome,Interaction.partners,Mw,PI,Protein.length,Gravy.score,Aromaticity.Score,CAI,Codon.Bias,FOP.Score,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr,Carbons,Hydrogens,Nitrogens,Oxygens,Sulphurs,Instability.index,Alphatic.index,EC.number
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,svm,rbf,False,4926,836,0.80622009569377995,1.0,0.80622009569377995,836,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,log_reg,NA,False,4926,836,0.0,0.0,0.19377990430622011,0,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,gnb,NA,False,4926,836,0.81402002861230327,0.84421364985163205,0.71889952153110048,699,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,log_reg,NA,False,4926,836,0.0,0.0,0.19377990430622011,0,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,log_reg,NA,False,4926,836,0.0,0.0,0.19377990430622011,0,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,gnb,NA,False,4926,836,0.81402002861230327,0.84421364985163205,0.71889952153110048,699,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,log_reg,NA,False,4926,836,0.0,0.0,0.19377990430622011,0,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,gnb,NA,False,4926,836,0.82153392330383479,0.82640949554896137,0.71531100478468901,678,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,gnb,NA,False,4926,836,0.81258941344778257,0.84272997032640951,0.71650717703349287,699,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,knn,NA,False,4926,836,0.80576441102756891,0.95400593471810091,0.77751196172248804,798,674,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,log_reg,NA,False,4926,836,0.0,0.0,0.19377990430622011,0,674,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,log_reg,NA,False,4926,836,0.0,0.0,0.19377990430622011,0,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,log_reg,NA,False,4926,836,0.0,0.0,0.19377990430622011,0,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,gnb,NA,False,4926,836,0.81465517241379315,0.84124629080118696,0.71770334928229662,696,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,gnb,NA,False,4926,836,0.81402002861230327,0.84421364985163205,0.71889952153110048,699,674,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,gnb,NA,False,4926,836,0.81402002861230327,0.84421364985163205,0.71889952153110048,699,674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
large_yeast_data.csv,../data/testing_data_large.csv,../data/training_data_large.csv,gnb,NA,False,4926,836,0.81402002861230327,0.84421364985163205,0.71889952153110048,699,674,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
